単語,品詞,意味,用例,"単語
を追加",品詞・意味・用例を追加
be,動,①～です、～だ　②(～に)いる、ある　《活用》was/were-been,want to be a nurse,,
bear,"名
動
",～を産む、～を生む　《活用》bore-born,"a brown bear
I was born in 2011.
",,●
beat,"動
",～を打つ、～をたたく、～を打ち負かす　《活用》beat-beat/beaten,My heart is beating.,●,
become,動,～になる　《活用》became-become,become a teacher,,
begin,"動
",～を始める、～をし始める、 始まる  《活用》began-begun,begin to walk,,
blow,動,吹く、 ～を吹き動かす　《活用》blew-blown,The wind is blowing.,,
break,"名
動",～を壊す、 壊れる　《活用》broke-broken,"have a break
break the window",,●
bring,"動
",～を持ってくる、～を連れてくる、～をもたらす、～を提供する　《活用》brought-brought,bring some flowers,,
build,"動
",～を建てる、～を建築する、～を建造する　《活用》built-built,build a house,,
buy,動,～を買う　《活用》bought-bought,buy a new dictionary,,
catch,"名
動",～をつかまえる　《活用》caught-caught,"a great catch
catch him",,●
choose,動,～を選ぶ、～を選択する　《活用》chose-chosen,choose the correct answer,,
come,"動





",①(話し手の方へ)来る、(聞き手の方へ)行く　②(もの・ことが)～になる　《活用》came-come,"①come home　②My dream came true.




",,●
cost,"動
",(費用・金額が)かかる、(費用・金額を)要する　《活用》cost-cost,"cost 1,000 yen",,
cut,動,～を切る、～の供給をとめる　《活用》cut-cut,cut the cake,,
deal,"名
動

",扱う　《活用》dealt-dealt,"do a deal with ～
This shop deals with a lot of goods.

",●,
do,"動
",①～をする　②やっていく、うまくいく　《活用》did-done,"①do my homework　②do well
",,●
draw,動,～を描く、(線を)引く　《活用》drew-drawn,draw a picture,,
drink,"名
動",～を飲む、酒を飲む　《活用》drank-drunk　　,"buy cold drinks
drink some tea",,
drive,"名
動
",～を運転する、～を車で送る、車を運転する 《活用》drove-driven,"go for a drive
drive a car
",,●
eat,動,～を食べる、食事をする　《活用》ate-eaten,eat lunch,,
fall,"名

動
",落ちる、降る、落下する、転ぶ　《活用》fell-fallen,"①Leaves become red in fall.　②visit a famous water fall
The pencil fell from the desk.
",,●
feed,"動
",～に食べ物を与える、～にえさを与える　《活用》fed-fed,feed my pets,●,
feel,"動
",～と感じる、～と思う　《活用》felt-felt,"feel sick
",,●
fight,"名
動",戦う、奮闘する　《活用》fought-fought,"had a fight
fight against ～",,●
find,"動
",～を見つける、～を発見する、～に気づく、～とわかる　《活用》found-found,"find a good book
",,
fly,動,飛ぶ、飛行する　《活用》flew-flown,fly from London to New York,,
forget,"動
",～を忘れる、～を置き忘れる　《活用》forgot-forgot/forgotten,forget my umbrella,,
get,"動





",①～を得る　②～になる　③～に着く　④～を理解する　《活用》got-got/gotten,"①get a CD 　②get sick 　③get to the station　④get his meaning



",,●
give,動,(…に)～を与える、～をあげる　《活用》gave-given,give him a present,,
go,"動






",①行く　②(事が)進行する　《活用》went-gone,"①go to the park　②Everything went well.





",,●
grow,"動
",成長する、育つ、～を栽培する、～を育てる、～になる　《活用》grew-grown,grow up / grow fruit,,
hang,"動

",～をつるす、～を掛ける、ぶらぶらする　《活用》hung-hung,"hang up a coat

",●,
have,"動
",～を持っている、～を食べる、～を飼っている　《活用》had-had,have a dog,,
hear,"動

",～を聞く、～が聞こえる　《活用》heard-heard,"hear a noise

",,●
hide,動,～を隠す、隠れる　《活用》hid-hid/hidden,She hid something in the box.,●,
hit,"名
動
",～を打つ、～にぶつかる、～を襲う、～に打撃を与える  《活用》hit-hit,"a great hit
hit a ball
",,●
hold,"動
",～を持っている、～をつかむ、～を開催する、～を開く　《活用》held-held,hold a party,,
hurt,"動

形
",痛む、～を傷つける、～にけがをさせる　《活用》hurt-hurt,"hurt my arm

Some people were hurt.
",,●
keep,"動


",①～のままである、～にしておく、(～を)(…に)保つ、～を続ける　②(日記や記録を)つける　③～を飼う　《活用》kept-kept,"①Keep quiet. / keep the room clean　②keep a diary　③keep a cat

",,●
know,"動


","～を知る、～を知っている、～がわかる
　《活用》knew-known","know the boy well / know that ～


",,●
